7-Gene-MLST,SaLTy-Lineage
1,20
3,20
5,46
6,60
7,45
8,11
9,18
10,31
12,0
15,25
20,38
22,51
25,7
26,7
30,15
34,15
36,15
37,15
39,15
45,4
46,4
47,4
49,17
50,27
51,5
54,4
59,14
71,9
72,50
78,32
80,40
81,20
87,14
88,32
89,23
93,47
94,11
96,36
97,9
101,57
105,46
106,57
109,18
111,46
121,5
123,5
125,46
130,12
133,19
136,35
146,46
149,46
151,21
152,33
180,46
182,6
188,54
199,25
206,11
209,51
219,11
225,46
228,46
231,46
239,11
241,11
243,15
244,51
247,11
248,46
250,11
254,11
256,4
291,29
338,14
340,11
352,9
361,48
368,11
375,14
389,38
395,13
398,44
425,16
464,9
474,20
479,2
481,19
496,46
504,21
507,11
508,4
509,23
522,3
526,46
544,50
572,11
573,10
580,58
582,25
599,24
609,11
611,6
612,11
622,51
630,11
632,46
669,9
672,48
682,4
700,12
701,19
707,22
710,46
737,51
750,19
757,11
764,46
772,10
779,42
789,45
834,28
840,46
854,51
901,0
907,15
923,11
924,4
927,51
943,45
944,6
946,5
1003,25
1011,46
1021,39
1027,41
1074,21
1093,13
1094,56
1100,46
1104,15
1148,34
1150,11
1153,26
1155,57
1156,52
1159,45
1160,25
1163,15
1165,4
1176,46
1178,46
1179,9
1181,11
1186,46
1187,46
1207,20
1213,5
1215,32
1218,54
1224,14
1232,44
1245,12
1290,30
1380,2
1413,5
1460,0
1463,11
1472,15
1482,15
1508,11
1529,11
1530,15
1535,25
1538,15
1540,11
1561,46
1579,46
1580,15
1590,51
1618,46
1633,33
1635,46
1647,4
1660,37
1692,48
1693,5
1729,19
1743,16
1750,11
1776,60
1797,11
1827,46
1842,15
1859,9
1866,46
1868,47
1943,8
1944,12
1945,12
1957,17
2021,11
2031,51
2046,51
2126,25
2161,11
2179,24
2224,27
2253,11
2255,25
2257,51
2274,51
2304,46
2319,11
2328,55
2361,8
2371,51
2374,15
2389,46
2415,11
2430,5
2434,25
2567,59
2626,46
2636,51
2659,46
2676,12
2824,9
2826,9
2867,49
2889,15
2896,15
2901,15
2925,51
2968,57
2979,47
2994,15
3004,46
3006,46
3013,25
3074,46
3091,8
3094,12
3108,12
3122,51
3127,9
3138,12
3139,12
3142,0
3170,9
3213,5
3268,1
3311,11
3314,11
3341,11
3344,11
3346,11
3356,44
3410,46
3423,15
3434,20
3436,51
3437,15
3441,51
3442,15
3446,20
3452,15
3453,14
3454,51
3459,4
3468,25
3499,46
3509,20
3514,46
3520,46
3537,51
3547,54
3557,46
3564,46
3615,20
3620,11
3628,46
3644,27
3645,0
3680,5
3697,4
3709,44
3721,19
3754,57
3763,19
3867,46
3881,43
3885,11
3891,27
3897,2
3899,21
3900,21
4216,15
4229,4
4542,46
4598,57
4652,12
